Date,Precipitation,Temperature ,Relative Humidity,Wind Speed 
1/1/1985,0,24.12,66.46,26.87
1/2/1985,0,24.27,66.08,26.6
1/3/1985,0.1,25.02,61.42,22.44
1/4/1985,0.2,25.26,60.54,22.89
1/5/1985,0,25.05,59.92,24.88
1/6/1985,0,24.21,63.17,24.63
1/7/1985,0,24.22,69.08,23.14
1/8/1985,0,24.18,66.96,26.17
1/9/1985,0,24.4,63.21,24.88
1/10/1985,0,23.72,69.17,25.24
1/11/1985,0,23,72.33,21.05
1/12/1985,0,23.5,73.75,18.94
1/13/1985,0,23.3,69.96,24.03
1/14/1985,0,23.33,65.42,27.07
1/15/1985,0,23.45,63.5,28.25
1/16/1985,0,23.91,62.25,25.19
1/17/1985,0,24.7,65.33,21.83
1/18/1985,0,24.73,65.96,22.13
1/19/1985,0,24.14,67.38,26.59
1/20/1985,0,23.89,69.54,25.14
1/21/1985,0,23.78,66.04,21.88
1/22/1985,0,24.56,72.79,18.67
1/23/1985,0,24.82,73.38,19.52
1/24/1985,0,25.03,66.62,21.25
1/25/1985,,24.84,67.58,25.38
1/26/1985,0,24.7,69.33,25.55
1/27/1985,0,24.83,69.92,25.84
1/28/1985,0,24.61,69,27.7
1/29/1985,,24.64,68.54,29.71
1/30/1985,0,23.79,67,32.97
1/31/1985,0,23.12,65.33,30.98
2/1/1985,0,23.61,66.54,27.79
2/2/1985,0,23.81,70.46,27.12
2/3/1985,0,24.12,72.25,22.33
2/4/1985,0,24.98,73,16.51
2/5/1985,0,25.3,73.46,10.34
2/6/1985,0,26.15,75.04,4.88
2/7/1985,0,26.43,70.17,5.92
2/8/1985,0,26.5,75.42,5.43
2/9/1985,0,26.71,77,6.09
2/10/1985,0,27.28,74.25,5.66
2/11/1985,0,27,73.04,11.5
2/12/1985,0,25.88,72.42,16.83
2/13/1985,0,25.77,66.83,21.15
2/14/1985,0,24.91,64.12,22.13
2/15/1985,0,24.84,61.21,13.94
2/16/1985,0,25.74,64.54,10.29
2/17/1985,0,25.8,68,14.48
2/18/1985,0,26.05,71.42,17.75
2/19/1985,0,25.41,76.88,9.85
2/20/1985,0,26.11,73.54,15.3
2/21/1985,0,26.12,72.62,16.57
2/22/1985,0,26.16,69.67,20.65
2/23/1985,0,26.2,69.25,21.72
2/24/1985,0,25.71,71.79,20.56
2/25/1985,0,26.83,69.04,19.3
2/26/1985,0,25.42,78.12,11.42
2/27/1985,0,25.5,77.88,15.4
2/28/1985,0,26.14,75.54,16.86
3/1/1985,0,26.23,72.67,10.82
3/2/1985,0,26.24,71.54,14.79
3/3/1985,0,26.43,69.21,15.24
3/4/1985,0,27.19,62.83,22.79
3/5/1985,0,27.16,64.67,26.16
3/6/1985,0,26.64,65.5,26.64
3/7/1985,0,26.34,64.46,25.17
3/8/1985,0,26.25,68.12,23.76
3/9/1985,0,26.26,64.71,24.22
3/10/1985,0,26.27,62.71,25.97
3/11/1985,0,25.94,66.21,26.21
3/12/1985,0,26.05,64.25,29.76
3/13/1985,0,26.95,63.08,28.12
3/14/1985,0,26.26,66.29,30.65
3/15/1985,0,26,58.67,35.44
3/16/1985,0,24.72,61.17,31.29
3/17/1985,0,26.58,56.96,28.11
3/18/1985,0,26.68,65.08,26.09
3/19/1985,0,26.06,68.17,25.83
3/20/1985,0,25.98,64.17,24.86
3/21/1985,0,25.61,64.88,26.43
3/22/1985,0,25.88,68.17,24.28
3/23/1985,0,26.84,69.5,22.11
3/24/1985,0,26.67,68.83,20.3
3/25/1985,0,26.79,68.21,21.14
3/26/1985,0,26.56,72.83,12.28
3/27/1985,0,27.37,70.58,6.16
3/28/1985,0,27.57,65.96,9.41
3/29/1985,0,26.81,69.67,8.22
3/30/1985,,26.06,62.5,15.74
3/31/1985,0,26.27,67.17,24.82
4/1/1985,0,26.93,66,24.31
4/2/1985,0,26.74,67.79,21.52
4/3/1985,0,26.21,72.33,17.2
4/4/1985,0,26.16,71.08,19.17
4/5/1985,0,27.16,70.62,15.6
4/6/1985,0,27.74,70.29,6.18
4/7/1985,0,27.47,69.83,12.23
4/8/1985,0.1,28.29,69.62,17.97
4/9/1985,0,28.48,71.25,16.28
4/10/1985,0,28.01,68.08,15.05
4/11/1985,0,29.22,65.46,14.8
4/12/1985,0,27.89,73.96,11.93
4/13/1985,0,27.14,68,9.75
4/14/1985,0,26.8,65.79,7.6
4/15/1985,0,26.76,69.42,15.13
4/16/1985,0,27.05,66.67,20.36
4/17/1985,0,28.24,66.42,19.23
4/18/1985,0,27.72,68.08,15.56
4/19/1985,0,27.29,71.33,16.83
4/20/1985,0,25.09,90.58,8.52
4/21/1985,0.2,28.53,67.83,14.91
4/22/1985,0.1,27.56,72.79,6.1
4/23/1985,0,27.56,71.54,4.82
4/24/1985,1.2,27.29,76,6.41
4/25/1985,23.5,24.28,93.58,4.58
4/26/1985,0,26.08,78.71,6.08
4/27/1985,3.8,24.58,90.29,11.54
4/28/1985,1.4,24.73,83.75,9.23
4/29/1985,5.7,25.64,82.62,3.87
4/30/1985,25.8,26.21,85.58,5.23
5/1/1985,13.3,25.25,87.04,14.08
