Date,Precipitation,Temperature,Relative Humidity,Wind Speed
1985-01-01,0.0,24.12,66.46,26.87
1985-01-02,0.0,24.27,66.08,26.6
1985-01-03,0.1,25.02,61.42,22.44
1985-01-04,0.2,25.26,60.54,22.89
1985-01-05,0.0,25.05,59.92,24.88
1985-01-06,0.0,24.21,63.17,24.63
1985-01-07,0.0,24.22,69.08,23.14
1985-01-08,0.0,24.18,66.96,26.17
1985-01-09,0.0,24.4,63.21,24.88
1985-01-10,0.0,23.72,69.17,25.24
1985-01-11,0.0,23.0,72.33,21.05
1985-01-12,0.0,23.5,73.75,18.94
1985-01-13,0.0,23.3,69.96,24.03
1985-01-14,0.0,23.33,65.42,27.07
1985-01-15,0.0,23.45,63.5,28.25
1985-01-16,0.0,23.91,62.25,25.19
1985-01-17,0.0,24.7,65.33,21.83
1985-01-18,0.0,24.73,65.96,22.13
1985-01-19,0.0,24.14,67.38,26.59
1985-01-20,0.0,23.89,69.54,25.14
1985-01-21,0.0,23.78,66.04,21.88
1985-01-22,0.0,24.56,72.79,18.67
1985-01-23,0.0,24.82,73.38,19.52
1985-01-24,0.0,25.03,66.62,21.25
1985-01-25,0.0,24.84,67.58,25.38
1985-01-26,0.0,24.7,69.33,25.55
1985-01-27,0.0,24.83,69.92,25.84
1985-01-28,0.0,24.61,69.0,27.7
1985-01-29,0.0,24.64,68.54,29.71
1985-01-30,0.0,23.79,67.0,32.97
1985-01-31,0.0,23.12,65.33,30.98
1985-02-01,0.0,23.61,66.54,27.79
1985-02-02,0.0,23.81,70.46,27.12
1985-02-03,0.0,24.12,72.25,22.33
1985-02-04,0.0,24.98,73.0,16.51
1985-02-05,0.0,25.3,73.46,10.34
1985-02-06,0.0,26.15,75.04,4.88
1985-02-07,0.0,26.43,70.17,5.92
1985-02-08,0.0,26.5,75.42,5.43
1985-02-09,0.0,26.71,77.0,6.09
1985-02-10,0.0,27.28,74.25,5.66
1985-02-11,0.0,27.0,73.04,11.5
1985-02-12,0.0,25.88,72.42,16.83
1985-02-13,0.0,25.77,66.83,21.15
1985-02-14,0.0,24.91,64.12,22.13
1985-02-15,0.0,24.84,61.21,13.94
1985-02-16,0.0,25.74,64.54,10.29
1985-02-17,0.0,25.8,68.0,14.48
1985-02-18,0.0,26.05,71.42,17.75
1985-02-19,0.0,25.41,76.88,9.85
1985-02-20,0.0,26.11,73.54,15.3
1985-02-21,0.0,26.12,72.62,16.57
